20/3/2020 10:15 | /src/exceptions/Handler.js(53) | NOijlcR21HGW2biog2FSJ4uoVoIN5iuD | IP - Unknown | [error] | URL : http://192.168.10.118:2091/api/driver/financial_details | Request : {} | Error : Invalid token provided.
20/3/2020 10:15 | /src/responses/response.js(42) | NOijlcR21HGW2biog2FSJ4uoVoIN5iuD | IP - Unknown | [error] | URL : http://192.168.10.118:2091/api/driver/financial_details | Request : {} | Error : Unauthorized access. Invalid token provided.
20/3/2020 10:15 | /src/exceptions/Handler.js(62) | Nn2a0bz9rFr6ZatA3FqLAe1OwaCaSHDx | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:15 | /src/responses/response.js(42) | Nn2a0bz9rFr6ZatA3FqLAe1OwaCaSHDx | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:15 | /src/exceptions/Handler.js(62) | GJsu4yejRopAyr6gIgyL47gQZObdkcWo | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:15 | /src/responses/response.js(42) | GJsu4yejRopAyr6gIgyL47gQZObdkcWo | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:16 | /src/exceptions/Handler.js(62) | lIjGCQ4foES6yIAMGAVAaRpFFJANa8jj | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:16 | /src/responses/response.js(42) | lIjGCQ4foES6yIAMGAVAaRpFFJANa8jj | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:16 | /src/exceptions/Handler.js(62) | 7UceSZgxP7nJ0znj2hSdJelC4RTDs7uc | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:16 | /src/responses/response.js(42) | 7UceSZgxP7nJ0znj2hSdJelC4RTDs7uc | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:16 | /src/exceptions/Handler.js(62) | AciP8vcOjegpVfPj8SJhzIzlQ5ZQC7wN | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:16 | /src/responses/response.js(42) | AciP8vcOjegpVfPj8SJhzIzlQ5ZQC7wN | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:17 | /src/exceptions/Handler.js(62) | bweeQC88DTp7SJWsp8vUwnGxagpGxlSU | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:17 | /src/responses/response.js(42) | bweeQC88DTp7SJWsp8vUwnGxagpGxlSU | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:17 | /src/exceptions/Handler.js(62) | OPAM4rp650HSbqrJgcItAT9SxLNBB8XJ | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:17 | /src/responses/response.js(42) | OPAM4rp650HSbqrJgcItAT9SxLNBB8XJ | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:18 | /src/responses/response.js(26) | BkFhvREsbD6dNM5HATeWxlqmeJygM12d | IP - Unknown | [info] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/sign_up | Request : {} | Response :  {"userId":340,"firstName":"John","lastName":"Smith","emailId":"johndriver@email.com","verifyEmailLink":"http://192.168.10.118:2091/or1.0/v1/api/user/verify_email?token=12f837bf326a7d3fc0a0c46c1ed510d206c75a140df163a88e596e1b939d30d09051bc89bf113cd8054f3b091ac197d6","token":"12f837bf326a7d3fc0a0c46c1ed510d206c75a140df163a88e596e1b939d30d061f4ebf8e0c1a03322427a71d9736180c7fd8dba9441717ceddecbe19dbe8f53"}
20/3/2020 10:19 | /src/exceptions/Handler.js(62) | pl1FSAp9nYAOe1b3Jh0VE9SLjcH43QN1 | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:19 | /src/responses/response.js(42) | pl1FSAp9nYAOe1b3Jh0VE9SLjcH43QN1 | IP - Unknown | [error] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Error : User does not exist.
20/3/2020 10:19 | /src/responses/response.js(26) | C17jbevTfLE0Q2YsRmYmfdLAbL1fiNeF | IP - Unknown | [info] | URL : http://192.168.10.118:2091/or1.0/v1/api/user/login | Request : {} | Response :  {"userId":340,"firstName":"John","lastName":"Smith","emailId":"johndriver@email.com","typeId":3,"status":1,"createdAt":"2020-03-20T04:48:20.000Z","updatedAt":"2020-03-20T04:48:20.000Z","createdBy":null,"updatedBy":null,"userDetails":{"detailsId":266,"emailStatus":2,"signUpStatus":5,"phoneNo":"0123456709"},"changedPassword":true,"token":"Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOjM0MCwidHlwZSI6ImxvZ2luIiwiaWF0IjoxNTg0Njc5NzY3fQ.ITd8-vJ9nAP-H9TXmoC6Gx24vcWriYR4h2pQLrfQi-Q"}
20/3/2020 10:19 | /src/exceptions/Handler.js(26) | rgzfJguZF90Rqw428CMDND0uRrLnLGSW | IP - Unknown | [error] | URL : http://192.168.10.118:2091/api/driver/financial_details | Request : {} | Error : select `SRU03_USER_MASTER_D` as `userId`, `SRU03_FIRST_N` as `firstName`, `SRU03_LAST_N` as `lastName`, `SRU03_EMAIL_N` as `emailId`, `SRU03_PASSWORD_N` as `password`, `SRU03_TYPE_D` as `typeId`, `SRU03_STATUS_D` as `status`, `SRU03_CREATED_AT` as `createdAt`, `SRU03_UPDATED_AT` as `updatedAt`, `SRU03_CREATED_D` as `createdBy`, `SRU03_UPDATED_D` as `updatedBy`, `SRU03_USER_MASTER`.`SRU03_USER_MASTER_D` from `shiftr_user`.`SRU03_USER_MASTER` where `PODU03_USER_MASTER_D` = 340 - ER_BAD_FIELD_ERROR: Unknown column 'PODU03_USER_MASTER_D' in 'where clause'
20/3/2020 10:19 | /src/responses/response.js(42) | rgzfJguZF90Rqw428CMDND0uRrLnLGSW | IP - Unknown | [error] | URL : http://192.168.10.118:2091/api/driver/financial_details | Request : {} | Error : Something went wrong. Please try again select `SRU03_USER_MASTER_D` as `userId`, `SRU03_FIRST_N` as `firstName`, `SRU03_LAST_N` as `lastName`, `SRU03_EMAIL_N` as `emailId`, `SRU03_PASSWORD_N` as `password`, `SRU03_TYPE_D` as `typeId`, `SRU03_STATUS_D` as `status`, `SRU03_CREATED_AT` as `createdAt`, `SRU03_UPDATED_AT` as `updatedAt`, `SRU03_CREATED_D` as `createdBy`, `SRU03_UPDATED_D` as `updatedBy`, `SRU03_USER_MASTER`.`SRU03_USER_MASTER_D` from `shiftr_user`.`SRU03_USER_MASTER` where `PODU03_USER_MASTER_D` = 340 - ER_BAD_FIELD_ERROR: Unknown column 'PODU03_USER_MASTER_D' in 'where clause'
20/3/2020 10:21 | /src/responses/response.js(61) | FjrYz5A0dl8lHPcCBEXkF5McYoAOwv8g | IP - Unknown | [error] | URL : http://192.168.10.118:2091/api/driver/financial_details | Request : {} | BadRequestError : {"institutionNumber":"institutionNumber is not allowed to be empty","transitNumber":"transitNumber is not allowed to be empty","address":"address is not allowed to be empty","latitude":"latitude is not allowed to be empty","longitude":"longitude is not allowed to be empty"}
